complaint_id,date_received,district_occurrence,general_cap_classification,summary
15-0689,11/18/15,39,LACK OF SERVICE,"According to the complainant, on 11-6-15 at 9:15pm, they did not receive proper service from an officer assigned to the 39th District."
15-0690,11/18/15,15,HARASSMENT,"According to the complainant, on 11-9-15 at 10:15pm, they were threatened by an off-duty officer assigned to the 14th District."
15-0691,11/20/15,7,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers assigned to the 7th District."
15-0692,11/20/15,2,CRIMINAL ALLEGATION,"According to the complainant, on 11-11-15 at 10:00pm, their vehicle was improperly searched and property was not returned to them after their release from police custody. The complainant was arrested by officers assigned to the 2nd District."
15-0693,11/20/15,6,CRIMINAL ALLEGATION,"According to the complainant, on 11-7-15 at 9:30am, they are missing property after their release from police custody. The complainant was arrested by officers assigned to the 6th District."
15-0694,11/20/15,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-20-15 at 11:45am, they were threatened and falsely arrested by an officer and a sergeant assigned to SWAT. This incident occurred in the confines of the 16th District."
15-0695,11/20/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-12-15 at 9:30pm, currency was improperly confiscated after their arrest by officers assigned to the 24th District."
15-0696,11/20/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-14-15 at 12:45pm, they were falsely issued a traffic citation and treated unprofessionally by an officer and sergeant to the 19th District."
15-0697,11/20/15,14,DOMESTIC,"According to the complainant, on 11-17-15 at 10:00am, they are being stalked by their estranged spouse who is an officer assigned to the 5th District."
15-0698,11/23/15,3,VERBAL ABUSE,"According to the complainant, on 11-17-15 at 4:30pm, they were verbally abused and did not receive proper service from an officer assigned to the 3rd District."
15-0699,11/23/15,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-17-15 at 12:00pm, they were treated unprofessionally an officers assigned to the Highway Patrol Unit. This incident occurred in the confines of the 39th District."
15-0700,11/23/15,9,LACK OF SERVICE,"According to the complainant, on 5-23-15 at 3:23pm, they did not receive proper service from an officer assigned to Traffic. This incident occurred in the confines of the 9th District."
15-0701,11/24/15,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-28-15 at 11:49pm, they were improperly detained and their property was not returned to them after being arrested by an officer assigned to the 25th District."
15-0702,11/24/15,5,VERBAL ABUSE,"According to the complainant, on 11-18-15 at 6:05pm, they were verbally abused by an off duty officer, assigned to the Safety Office, during a road rage incident."
15-0703,11/24/15,8,LACK OF SERVICE,"According to the complainant, on 11-19-15 at 8:30pm, they did not receive proper service from a supervisor and officers assigned to the 8th District."
15-0704,11/24/15,9,LACK OF SERVICE,"According to the complainant, on 3-8-13, they did not receive proper service from a detective assigned to Central Detectives."
15-0705,11/30/15,9,LACK OF SERVICE,"According to the complainant, on 11-18-15 at 11:52am, they did not receive proper service from an officer assigned to the 9th District."
15-0706,11/30/15,35,PHYSICAL ABUSE,"According to the complainant, on 10-20-15 they were physically abused by the officers inside the 35th District cellblock."
15-0707,12/1/15,19,PHYSICAL ABUSE,"According to the complainant, on 02-07-15 at 3:30am, their client was physically abused by unknown officers within the 19th District."
15-0708,12/1/15,8,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-18-15 at 12:00pm, officers and supervisors, assigned to Canine, violated departmental policies."
15-0709,12/1/15,9,PHYSICAL ABUSE,"According to the complainant, on 10-14-15 at 9:00pm, three juveniles were physically and verbally abused by officers assigned to the 9th District."
15-0710,12/1/15,1,LACK OF SERVICE,"According to the complainant, on 4-19-10, detectives and a supervisor failed to do a proper investigation in reference to a shooting. The detectives and supervisors are assigned to South Detectives."
15-0711,12/2/15,15,HARASSMENT,"According to the complainant, on 11-16-15, they did not receive proper service from an officer assigned to the 15th District."
15-0712,12/2/15,25,CRIMINAL ALLEGATION,"According to the complainant, on 11-12-15 at 8:00pm, they were verbally abused and their vehicle was improperly searched by a supervisor and officers assigned to the 25th District."
15-0713,12/2/15,12,LACK OF SERVICE,"According to the complainant, on 11-15-15 at 11:15pm , they did not receive proper service from officers assigned to the 12th District."
15-0714,12/2/15,35,LACK OF SERVICE,"According to the complainant, on 11-9-15 at 9:30pm, they did not receive proper service from officers assigned to the 35th District."
15-0715,12/2/15,1,PHYSICAL ABUSE,"According to the complainant, in late February, 2015, they were physically abused by officers assigned to the 1st District."
15-0716,12/2/15,22,PHYSICAL ABUSE,"According to the complainant, on 11-10-15 at 1:30am, they were physically abused by an officer assigned to the 22nd District."
15-0717,12/3/15,22,PHYSICAL ABUSE,"According to the complaint, on 11-28-15 at 7:20pm, they were harassed and threatened by an officer assigned to SWAT. This incident occurred in the confines of the 22nd District."
15-0718,12/3/15,6,LACK OF SERVICE,"According to the complainant, on 11-12-15 at 12:15pm, they did not receive proper service from an officer assigned to the 6th District."
15-0719,12/3/15,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-9-15 at 1:00pm, their juvenile family member was improperly detained by unknown 18th District officers."
15-0721,12/4/15,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-20-15, proper police procedures were not followed by an officer assigned to the 18th District."
15-0722,12/4/15,19,HARASSMENT,"According to the complainant, on 11-29-15 at 4:00pm, they were harassed and improperly issued traffic citations by officers assigned to the 19th District."
15-0723,12/8/15,6,VERBAL ABUSE,"According to the complainant, on 11-30-15 at 3:30pm, they were verbally abused by an officer assigned to Traffic. This incident occurred in the confines of the 6th District."
15-0724,12/8/15,6,VERBAL ABUSE,"According to the complainant, on 11-29-15 at 10:00pm, they were verbally abused by an officer assigned to the 6th District."
15-0725,12/8/15,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-17-15 at 8:05am, they were harassed by an officer assigned to the 9th District."
15-0726,12/8/15,18,PHYSICAL ABUSE,"According to the complainant, on 11-14-15 at 8:25pm, they were verbally and physically abused by an officer assigned to the 18th District."
15-0727,12/8/15,35,PHYSICAL ABUSE,"According to the complainant, on 11-29-15 at 8:30pm, their friend was verbally abused by an officer assigned to the 35th District."
15-0728,12/8/15,15,VERBAL ABUSE,"According to the complainant, on 11-14-15 at 5:30pm, they were verbally abused by officers assigned to the 15th District."
15-0729,12/8/15,8,CRIMINAL ALLEGATION,"According to the complainant, on 11-26-15 at 1:00pm, they were missing property after their arrest by an officer assigned to the 8th District."
15-0730,12/8/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-15-15 at 7:30pm, they were treated unprofessionally by an officer assigned to the 6th District."
15-0731,12/8/15,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-2-15 at 7:20pm, they were improperly stopped and falsely issued tickets by an officer assigned to the 19th District."
15-0732,12/8/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-2-15 at 7:00pm, they were harassed by an officer assigned to the 19th District."
15-0733,12/8/15,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 11-27-15 at 12:27pm, they were falsely issued a traffic citation by an officer assigned to the 19th District."
15-0734,12/10/15,15,VERBAL ABUSE,"According to the complainant, on 12-4-15 at 1:30pm, they were verbally abused by an officer assigned to the 15th District."
15-0735,12/22/15,14,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-5-15 at 7:12pm, they were harassed and improperly issued traffic citations by officers assigned to the 14th District."
15-0736,12/11/15,6,VERBAL ABUSE,"According to the complainant, on 4-10-15, they were verbally abused by and did not receive proper service from an officer assigned to the 6th District."
15-0737,12/11/15,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-15-15 at 5:00pm, their property was improperly entered and they were falsely arrested by an officer assigned to the Narcotics Field Unit. This incident occurred in the confines of the 1st District."
15-0738,12/11/15,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-29-15 at 5:50pm, they were falsely arrested by unidentified officers in the 25th District."
15-0739,12/14/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 04-12-15 at 1:00am they were harassed by officers assigned to the 9th District and detective assigned to Central Detectives."
15-0740,12/14/15,16,CRIMINAL ALLEGATION,"According to the complainant, on 4-12-15 at 1:00am, they were missing property after being arrested by officers assigned to the 24th District."
15-0741,12/15/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-4-15 at 9:36pm, they were harassed by an officer assigned to the 14th District."
15-0742,12/22/15,15,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-24-12, they were arrested for assault. The complainant stated the police report was changed by an officer assigned to the 15th District."
15-0743,12/15/15,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-29-15 at 10:00pm, they were verbally abused by officers assigned to the 25th District."
15-0744,12/15/15,17,PHYSICAL ABUSE,"According to the complainant, on 12-8-15 at 12:10pm, they were physically abused by an officer assigned to the 17th District."
15-0745,12/15/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-19-15 at 8:40pm, their residence was improperly entered by officers assigned to the 14th District."
15-0746,12/15/15,35,DOMESTIC,"According to the complainant, on 12-7-15 at 3:30pm, a false police report was prepared by an officer assigned to Court Liaison. This incident occurred in the confines of the 35th District."
15-0747,12/16/15,12,LACK OF SERVICE,"According to the complainant, on 11-20-15 at 6:45pm, they did not receive proper service from officers assigned to the 12th District."
15-0748,12/16/15,6,CRIMINAL ALLEGATION,"According to the complainant, on 6-22-15, they did not receive proper service from unknown Police Detention Unit employees."
15-0749,12/16/15,8,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-19-15 at 12:35am, they were treated unprofessionally by officers assigned to the 8th District."
15-0750,12/23/15,35,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 11-28-15 at 6:00am, they did not receive proper service from officers assigned to the 35th District."
15-0751,12/16/15,25,CRIMINAL ALLEGATION,"According to the complainant, on 11-26-15 at 9:30am, they are missing property and were physically abused by an officer assigned to the 25th District."
